 format: day,hour,forecast,value  location:59_126 Start : 20231119 
 19,1100,+31,4.000000 
 19,1100,+32,4.000000 
 19,1100,+33,4.000000 
 19,1100,+34,3.000000 
 19,1100,+35,3.000000 
 19,1100,+36,3.000000 
 19,1100,+37,5.000000 
 19,1100,+38,7.000000 
 19,1100,+39,9.000000 
 19,1100,+40,11.000000 
 19,1100,+41,12.000000 
 19,1100,+42,13.000000 
 19,1100,+43,13.000000 
 19,1100,+44,13.000000 
 19,1100,+45,11.000000 
 19,1100,+46,10.000000 
 19,1100,+47,10.000000 
 19,1100,+48,9.000000 
 19,1100,+49,8.000000 
 19,1100,+50,8.000000 
 19,1100,+51,8.000000 
 19,1100,+52,8.000000 
 19,1100,+53,7.000000 
 19,1100,+54,7.000000 
 19,1100,+55,7.000000 
 19,1100,+56,7.000000 
 19,1100,+57,7.000000 
 19,1100,+58,7.000000 
 19,1100,+59,7.000000 
 19,1100,+60,7.000000 
 19,1100,+61,8.000000 
 19,1100,+62,9.000000 
 19,1100,+63,10.000000 
 19,1100,+64,12.000000 
 19,1100,+65,13.000000 
 19,1100,+66,13.000000 
 19,1100,+67,13.000000 
 19,1100,+68,13.000000 
 19,1100,+69,13.000000 
 19,1100,+70,12.000000 
 19,1100,+71,12.000000 
 19,1100,+72,12.000000 
 19,1100,+73,12.000000 
 19,1100,+74,12.000000 
 19,1100,+75,12.000000 
 19,1100,+76,12.000000 
 19,1400,+6,3.000000 
 19,1400,+7,2.000000 
 19,1400,+8,2.000000 
 19,1400,+9,2.000000 
 19,1400,+10,4.000000 
 19,1400,+11,5.000000 
 19,1400,+12,7.000000 
 19,1400,+13,8.000000 
 19,1400,+14,9.000000 
 19,1400,+15,10.000000 
 19,1400,+16,11.000000 
 19,1400,+17,11.000000 
 19,1400,+18,10.000000 
 19,1400,+19,8.000000 
 19,1400,+20,8.000000 
 19,1400,+21,7.000000 
 19,1400,+22,6.000000 
 19,1400,+23,5.000000 
 19,1400,+24,6.000000 
 19,1400,+25,5.000000 
 19,1400,+26,5.000000 
 19,1400,+27,4.000000 
 19,1400,+28,4.000000 
 19,1400,+29,4.000000 
 19,1400,+30,4.000000 
 19,1400,+31,3.000000 
 19,1400,+32,3.000000 
 19,1400,+33,3.000000 
 19,1400,+34,5.000000 
 19,1400,+35,7.000000 
 19,1400,+36,9.000000 
 19,1400,+37,11.000000 
 19,1400,+38,12.000000 
 19,1400,+39,13.000000 
 19,1400,+40,13.000000 
 19,1400,+41,13.000000 
 19,1400,+42,11.000000 
 19,1400,+43,10.000000 
 19,1400,+44,10.000000 
 19,1400,+45,9.000000 
 19,1400,+46,8.000000 
 19,1400,+47,8.000000 
 19,1400,+48,8.000000 
 19,1400,+49,8.000000 
 19,1400,+50,7.000000 
 19,1400,+51,7.000000 
 19,1400,+52,7.000000 
 19,1400,+53,7.000000 
 19,1400,+54,7.000000 
 19,1400,+55,7.000000 
 19,1400,+56,7.000000 
 19,1400,+57,7.000000 
 19,1400,+58,8.000000 
 19,1400,+59,9.000000 
 19,1400,+60,10.000000 
 19,1400,+61,12.000000 
 19,1400,+62,13.000000 
 19,1400,+63,13.000000 
 19,1400,+64,13.000000 
 19,1400,+65,13.000000 
 19,1400,+66,13.000000 
 19,1400,+67,12.000000 
 19,1400,+68,12.000000 
 19,1400,+69,12.000000 
 19,1400,+70,12.000000 
 19,1400,+71,12.000000 
 19,1400,+72,12.000000 
 19,1400,+73,12.000000 
 19,1700,+6,2.000000 
 19,1700,+7,4.000000 
 19,1700,+8,5.000000 
 19,1700,+9,7.000000 
 19,1700,+10,8.000000 
 19,1700,+11,9.000000 
 19,1700,+12,10.000000 
 19,1700,+13,11.000000 
 19,1700,+14,11.000000 
 19,1700,+15,10.000000 
 19,1700,+16,8.000000 
 19,1700,+17,8.000000 
 19,1700,+18,7.000000 
 19,1700,+19,6.000000 
 19,1700,+20,5.000000 
 19,1700,+21,6.000000 
 19,1700,+22,5.000000 
 19,1700,+23,5.000000 
 19,1700,+24,4.000000 
 19,1700,+25,4.000000 
 19,1700,+26,4.000000 
 19,1700,+27,4.000000 
 19,1700,+28,3.000000 
 19,1700,+29,3.000000 
 19,1700,+30,3.000000 
 19,1700,+31,5.000000 
 19,1700,+32,7.000000 
 19,1700,+33,9.000000 
 19,1700,+34,11.000000 
 19,1700,+35,12.000000 
 19,1700,+36,13.000000 
 19,1700,+37,13.000000 
 19,1700,+38,13.000000 
 19,1700,+39,11.000000 
 19,1700,+40,10.000000 
 19,1700,+41,10.000000 
 19,1700,+42,9.000000 
 19,1700,+43,8.000000 
 19,1700,+44,8.000000 
 19,1700,+45,8.000000 
 19,1700,+46,8.000000 
 19,1700,+47,7.000000 
 19,1700,+48,7.000000 
 19,1700,+49,7.000000 
 19,1700,+50,7.000000 
 19,1700,+51,7.000000 
 19,1700,+52,7.000000 
 19,1700,+53,7.000000 
 19,1700,+54,7.000000 
 19,1700,+55,8.000000 
 19,1700,+56,9.000000 
 19,1700,+57,10.000000 
 19,1700,+58,12.000000 
 19,1700,+59,13.000000 
 19,1700,+60,13.000000 
 19,1700,+61,13.000000 
 19,1700,+62,13.000000 
 19,1700,+63,13.000000 
 19,1700,+64,12.000000 
 19,1700,+65,12.000000 
 19,1700,+66,12.000000 
 19,1700,+67,12.000000 
 19,1700,+68,12.000000 
 19,1700,+69,12.000000 
 19,1700,+70,12.000000 
 19,2000,+6,6.000000 
 19,2000,+7,8.000000 
 19,2000,+8,9.000000 
 19,2000,+9,10.000000 
 19,2000,+10,10.000000 
 19,2000,+11,10.000000 
 19,2000,+12,9.000000 
 19,2000,+13,8.000000 
 19,2000,+14,8.000000 
 19,2000,+15,7.000000 
 19,2000,+16,6.000000 
 19,2000,+17,6.000000 
 19,2000,+18,6.000000 
 19,2000,+19,5.000000 
 19,2000,+20,5.000000 
 19,2000,+21,5.000000 
 19,2000,+22,4.000000 
 19,2000,+23,4.000000 
 19,2000,+24,4.000000 
 19,2000,+25,3.000000 
 19,2000,+26,3.000000 
 19,2000,+27,3.000000 
